county,address,name,dem,rep,grn,lib,unaf,oth,total,date,dem_perc,rep_perc,grn_perc,lib_perc,unaf_perc,oth_perc
ST. MARY'S,550,80,21,15,0,1,13,2,52,2018-03-31,40.38461538461539,28.846153846153843,0,1.9230769230769231,25,3.8461538461538463
SOMERSET,98,23,11,3,0,0,6,0,20,2018-03-31,55.00000000000001,15,0,0,30,0
TALBOT,165,29,5,11,2,0,18,1,37,2018-03-31,13.513513513513514,29.72972972972973,5.405405405405405,0,48.64864864864865,2.7027027027027026
WASHINGTON,891,174,37,14,2,4,34,1,92,2018-03-31,40.21739130434783,15.217391304347828,2.1739130434782608,4.3478260869565215,36.95652173913043,1.0869565217391304
WICOMICO,582,78,18,16,0,0,12,0,46,2018-03-31,39.130434782608695,34.78260869565217,0,0,26.08695652173913,0
WORCESTER,273,45,29,13,1,1,30,2,76,2018-03-31,38.15789473684211,17.105263157894736,1.3157894736842104,1.3157894736842104,39.473684210526315,2.631578947368421
Total,30749,5599,1123,871,51,65,1124,123,3357,2018-03-31,33.45248733988681,25.945784927018174,1.519213583556747,1.9362526064938934,33.48227584152517,3.6639857015192137
ALLEGANY,131,31,10,5,0,1,19,2,37,2018-04-30,27.027027027027028,13.513513513513514,0,2.7027027027027026,51.35135135135135,5.405405405405405
ANNE ARUNDEL,1169,511,121,101,3,14,119,4,362,2018-04-30,33.42541436464088,27.900552486187845,0.8287292817679558,3.867403314917127,32.87292817679558,1.1049723756906076
BALTIMORE CITY,1970,944,119,75,12,4,85,7,302,2018-04-30,39.40397350993378,24.834437086092713,3.9735099337748347,1.3245033112582782,28.14569536423841,2.3178807947019866
BALTIMORE CO.,1645,917,188,117,13,12,131,7,468,2018-04-30,40.17094017094017,25,2.7777777777777777,2.564102564102564,27.99145299145299,1.4957264957264957
CALVERT,156,67,69,10,0,1,43,1,124,2018-04-30,55.64516129032258,8.064516129032258,0,0.8064516129032258,34.67741935483871,0.8064516129032258
CAROLINE,69,20,32,5,0,2,12,3,54,2018-04-30,59.25925925925925,9.25925925925926,0,3.7037037037037033,22.22222222222222,5.555555555555555
CARROLL,253,108,25,31,0,3,34,5,98,2018-04-30,25.510204081632654,31.63265306122449,0,3.061224489795918,34.69387755102041,5.1020408163265305
CECIL,173,111,41,13,1,1,20,3,79,2018-04-30,51.89873417721519,16.455696202531644,1.2658227848101267,1.2658227848101267,25.31645569620253,3.79746835443038
