county,dem,rep,grn,lib,unaf,oth,total,date,conf.mailing,inactive,dem_perc,rep_perc,grn_perc,lib_perc,unaf_perc,oth_perc
ANNE ARUNDEL,159952,134571,837,2724,83017,1232,382333,2018-02-28,147,20940,41.83578189693278,35.197327983721,0.21891910978126394,0.7124679271734327,21.713270892128065,0.32223219026346145
BALTIMORE CITY,300533,30907,1263,1408,45734,1658,381503,2018-02-28,421,27140,78.77605156447001,8.101377970815433,0.3310589956042285,0.36906656042023256,11.987848064104345,0.4345968445857568
BALTIMORE CO.,306058,142275,1452,3098,90974,4476,548333,2018-02-28,129,27661,55.81608256296813,25.94682428378376,0.2648025925851627,0.5649851458876267,16.591013125235943,0.8162922895393857
CALVERT,23620,26615,138,493,13326,393,64585,2018-02-28,87,4217,36.57195943330495,41.20925911589378,0.2136719052411551,0.7633351397383293,20.633273980026324,0.6085004257954633
CAROLINE,6836,9164,27,108,3821,119,20075,2018-02-28,147,1038,34.05230386052304,45.64881693648817,0.1344956413449564,0.5379825653798256,19.03362391033624,0.5927770859277709
CARROLL,32177,63196,263,906,24101,821,121464,2018-02-28,45,7111,26.49097675031285,52.028584601198716,0.21652506092340118,0.7459000197589409,19.842093130474872,0.6759204373312258
CECIL,21297,27629,154,424,14054,564,64122,2018-02-28,93,7465,33.213249742678016,43.08817566513833,0.24016718131062662,0.6612395121799071,21.91759458532173,0.8795733133713858
CHARLES,66284,25274,156,483,18034,493,110724,2018-02-28,101,7707,59.86416675698132,22.826126223763595,0.14089086376937252,0.4362197897474802,16.28734511036451,0.44525125537372207
DORCHESTER,9953,8080,26,118,2978,101,21256,2018-02-28,20,1374,46.82442604441099,38.01279638690252,0.12231840421528038,0.5551373729770418,14.010161836657886,0.4751599548362815
FREDERICK,62287,66214,451,1285,38541,322,169100,2018-02-28,73,11459,36.834417504435244,39.15671200473093,0.2667060910703726,0.7599053814311059,22.791839148432878,0.19041986989946777
GARRETT,4245,12714,37,102,2470,133,19701,2018-02-28,2,1298,21.547129587330595,64.53479518806152,0.1878077254961677,0.5177402162326785,12.53743464798741,0.6750926348916299
HARFORD,64047,77235,391,1375,34822,1114,178984,2018-02-28,154,9457,35.78364546551647,43.15190184597506,0.21845528091896482,0.7682250927457203,19.455370312430162,0.6224020024136235
HOWARD,105382,55796,512,1241,47465,1828,212224,2018-02-28,53,14164,49.6560238238842,26.291088661037392,0.24125452352231602,0.5847594993968637,22.36551945114596,0.861354041013269
KENT,5969,4713,25,76,2056,104,12943,2018-02-28,37,845,46.11759252105385,36.41350536969791,0.19315460094259446,0.5871899868654871,15.885034381518967,0.803523139921193
MONTGOMERY,377645,114578,1645,2982,142781,4637,644268,2018-02-28,1247,81141,58.61613490038307,17.78421402273588,0.2553285278797023,0.4628508633053326,22.16174014540533,0.7197315402906865
PR. GEORGE'S,450308,40848,1046,1603,66507,11552,571864,2018-02-28,1803,43160,78.74389715037142,7.142957066715164,0.18291062210595527,0.28031140271113414,11.629863044360198,2.020060713736133
QUEEN ANNE'S,10674,17715,80,249,6619,177,35514,2018-02-28,12,2081,30.05575266092245,49.88173677986146,0.22526327645435604,0.7011319479641832,18.637720335642282,0.4983949991552627
ST. MARY'S,25471,29239,133,528,14235,413,70019,2018-02-28,90,5873,36.37726902697839,41.75866550507719,0.18994844256558935,0.7540810351476028,20.330196089632814,0.5898399005984091
SOMERSET,5889,5165,19,56,1807,73,13009,2018-02-28,2,1065,45.268660158351906,39.70328234299331,0.1460527327234991,0.4304712122376816,13.890383580598048,0.5611499730955493
TALBOT,10012,11585,48,154,4882,187,26868,2018-02-28,44,1464,37.26365937174334,43.11820753312491,0.1786511835640911,0.5731725472681256,18.1703141283311,0.6959952359684383
WASHINGTON,31838,42203,262,689,19128,461,94581,2018-02-28,26,9152,33.662152017847134,44.62101267696472,0.27701123904378255,0.7284761209968176,20.223935039807152,0.48741290534039605
WICOMICO,26402,22753,145,411,10935,436,61082,2018-02-28,136,4105,43.223863003830914,37.24992632854196,0.237385809240038,0.6728659834321077,17.902164303722863,0.7137945712321142
WORCESTER,14071,16456,85,244,6959,291,38106,2018-02-28,161,2324,36.92594342098357,43.18480029391697,0.2230619849892405,0.6403191098514669,18.26221592400147,0.7636592662572823
Total,2134776,1006242,9332,21040,702392,31887,3905669,2018-02-28,5066,295204,54.658395271079044,25.763627178852072,0.23893473819722053,0.5387041246966909,17.983910054845918,0.8164286323290582
ALLEGANY,13800,21314,138,287,7169,300,43008,2018-03-31,286,3036,32.08705357142857,49.558221726190474,0.3208705357142857,0.6673177083333333,16.668991815476193,0.6975446428571429
ANNE ARUNDEL,160652,134693,837,2754,83406,1243,383585,2018-03-31,7274,21162,41.8817211309097,35.114251078639676,0.21820457004314558,0.7179634240129306,21.743811671467864,0.32404812492667856
BALTIMORE CITY,300438,30819,1262,1412,45798,1656,381385,2018-03-31,3423,27452,78.77551555514769,8.080810729315521,0.3308992225703685,0.37022955805813024,12.008338031123406,0.4342069037848893
BALTIMORE CO.,306746,142293,1453,3120,91330,4472,549414,2018-03-31,6329,27802,55.83148591044276,25.899048804726487,0.2644635921181477,0.5678777752296083,16.62316577298722,0.8139581444957719
CALVERT,23634,26646,138,490,13329,389,64626,2018-03-31,3705,4348,36.57042057376288,41.231083464859346,0.21353634760003715,0.7582087704638999,20.624825921455763,0.6019249218580757
CAROLINE,6835,9175,27,109,3827,116,20089,2018-03-31,152,1085,34.02359500224003,45.671760665040566,0.13440191149385236,0.5425854945492559,19.05022649211011,0.5774304345661805
CARROLL,32175,63151,266,909,24132,824,121457,2018-03-31,905,7228,26.490856846455944,51.99453304461661,0.2190075499971183,0.748413018599175,19.868760137332554,0.6784294029985921
CECIL,21288,27671,157,430,14108,560,64214,2018-03-31,577,7564,33.15164917307752,43.091849129473324,0.24449496994424894,0.6696359049428473,21.970286853334166,0.8720839692278942
CHARLES,66546,25159,159,486,18073,494,110917,2018-03-31,806,7904,59.99621338478322,22.682726723586104,0.1433504332068123,0.43816547508497344,16.294165907841,0.4453780754978948
DORCHESTER,9948,8084,25,116,2995,102,21270,2018-03-31,106,1376,46.770098730606485,38.006582040432534,0.11753643629525151,0.5453690644099671,14.080865068171134,0.4795486600846262
