county,ADDRESS,NAME,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date
ALLEGANY,107,40,24,10,0,2,16,2,54,6/30/18
ANNE ARUNDEL,"1,571",753,106,80,9,11,251,9,466,6/30/18
BALTIMORE CITY,"3,147","1,212",125,155,28,14,290,9,621,6/30/18
BALTIMORE CO.,"2,546","1,459",263,155,26,37,375,29,885,6/30/18
CALVERT,271,139,85,20,0,8,82,4,199,6/30/18
CAROLINE,70,24,21,3,1,2,28,2,57,6/30/18
CARROLL,358,166,57,34,0,5,71,2,169,6/30/18
CECIL,219,112,49,9,1,1,44,4,108,6/30/18
CHARLES,378,184,30,88,1,2,37,2,160,6/30/18
DORCHESTER,112,42,11,6,0,2,12,1,32,6/30/18
FREDERICK,693,278,52,47,10,7,146,2,264,6/30/18
GARRETT,37,22,5,7,1,1,13,3,30,6/30/18
HARFORD,541,252,101,46,8,7,124,5,291,6/30/18
HOWARD,902,434,77,104,1,5,255,15,457,6/30/18
KENT,57,15,5,5,0,0,16,1,27,6/30/18
MONTGOMERY,"4,341","2,620",161,329,20,23,954,62,"1,549",6/30/18
PR. GEORGE'S,"2,518","1,189",108,68,9,8,215,29,437,6/30/18
QUEEN ANNE'S,65,45,11,3,1,2,24,1,42,6/30/18
ST. MARY'S,331,99,22,10,1,2,43,5,83,6/30/18
SOMERSET,32,12,9,1,0,0,3,0,13,6/30/18
TALBOT,316,51,22,18,1,4,45,1,91,6/30/18
WASHINGTON,785,124,27,18,3,2,64,3,117,6/30/18
WICOMICO,229,91,27,9,3,1,29,3,72,6/30/18
WORCESTER,144,69,48,4,1,2,41,1,97,6/30/18
