county,ADDRESS,NAME,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date
ALLEGANY,243,58,27,14,1,0,13,0,55,9/30/14
ANNE ARUNDEL,"2,192",667,188,127,2,9,115,0,441,9/30/14
BALTIMORE CITY,"2,173",841,119,57,4,3,70,13,266,9/30/14
BALTIMORE CO.,"3,790","1,593",260,132,8,10,137,45,592,9/30/14
CALVERT,730,202,19,30,0,0,13,6,68,9/30/14
CAROLINE,98,33,10,2,0,0,7,0,19,9/30/14
CARROLL,629,189,71,94,3,4,42,11,225,9/30/14
CECIL,397,132,32,20,1,0,32,2,87,9/30/14
CHARLES,528,198,44,23,1,1,21,4,94,9/30/14
DORCHESTER,108,31,7,4,0,1,9,0,21,9/30/14
FREDERICK,"1,069",456,65,62,2,5,56,0,190,9/30/14
GARRETT,72,22,9,4,0,1,4,3,21,9/30/14
HARFORD,882,412,101,70,0,4,68,14,257,9/30/14
HOWARD,"2,776",419,80,69,2,3,49,21,224,9/30/14
KENT,56,22,3,2,0,1,6,0,12,9/30/14
MONTGOMERY,"4,715","1,691",260,171,6,13,626,68,"1,144",9/30/14
PR. GEORGE'S,"3,736","1,429",138,47,3,3,85,52,328,9/30/14
QUEEN ANNE'S,165,64,18,7,0,1,19,0,45,9/30/14
ST. MARY'S,391,126,31,19,2,1,30,2,85,9/30/14
SOMERSET,96,36,12,0,0,1,1,1,15,9/30/14
TALBOT,139,58,13,8,1,1,5,2,30,9/30/14
WASHINGTON,656,213,39,31,0,1,27,1,99,9/30/14
WICOMICO,444,154,31,12,0,3,24,4,74,9/30/14
WORCESTER,270,103,26,10,2,3,11,3,55,9/30/14
