county,ADDRESS,NAME,DEM,REP,GRN,LIB,UNAF,OTH,TOTAL,date
ALLEGANY,131,31,10,5,0,1,19,2,37,4/30/18
ANNE ARUNDEL,"1,169",511,121,101,3,14,119,4,362,4/30/18
BALTIMORE CITY,"1,970",944,119,75,12,4,85,7,302,4/30/18
BALTIMORE CO.,"1,645",917,188,117,13,12,131,7,468,4/30/18
CALVERT,156,67,69,10,0,1,43,1,124,4/30/18
CAROLINE,69,20,32,5,0,2,12,3,54,4/30/18
CARROLL,253,108,25,31,0,3,34,5,98,4/30/18
CECIL,173,111,41,13,1,1,20,3,79,4/30/18
CHARLES,282,155,25,55,0,1,34,3,118,4/30/18
DORCHESTER,85,26,18,12,0,1,5,0,36,4/30/18
FREDERICK,449,222,41,40,3,6,63,1,154,4/30/18
GARRETT,37,21,13,2,0,0,4,1,20,4/30/18
HARFORD,431,189,63,41,4,6,63,6,183,4/30/18
HOWARD,434,217,42,47,4,7,60,6,166,4/30/18
KENT,29,25,4,6,0,0,4,0,14,4/30/18
MONTGOMERY,"2,068","1,086",201,220,12,17,365,31,846,4/30/18
PR. GEORGE'S,"2,329","1,021",142,71,7,3,105,26,354,4/30/18
QUEEN ANNE'S,68,41,11,7,2,1,7,0,28,4/30/18
ST. MARY'S,222,106,28,18,0,1,28,1,76,4/30/18
SOMERSET,38,13,15,5,0,0,7,0,27,4/30/18
TALBOT,74,43,4,17,0,0,23,0,44,4/30/18
WASHINGTON,367,137,31,33,0,3,27,4,98,4/30/18
WICOMICO,183,74,15,15,2,2,16,3,53,4/30/18
WORCESTER,134,62,33,9,1,2,32,3,80,4/30/18
